Minutes from midnight,Days,Is business,MAX BATP001,MIN BATP001,AVG BATP001,DIFF BATP001,SEC BATP001,MAX BATP002,MIN BATP002,AVG BATP002,DIFF BATP002,SEC BATP002,MAX BATP003,MIN BATP003,AVG BATP003,DIFF BATP003,SEC BATP003,MAX BATP004,MIN BATP004,AVG BATP004,DIFF BATP004,SEC BATP004,MAX BATP005,MIN BATP005,AVG BATP005,DIFF BATP005,SEC BATP005,MAX BATP006,MIN BATP006,AVG BATP006,DIFF BATP006,SEC BATP006,MAX BATP007,MIN BATP007,AVG BATP007,DIFF BATP007,SEC BATP007,MAX BATP008,MIN BATP008,AVG BATP008,DIFF BATP008,SEC BATP008,MAX BATP009,MIN BATP009,AVG BATP009,DIFF BATP009,SEC BATP009,MAX BATP010,MIN BATP010,AVG BATP010,DIFF BATP010,SEC BATP010,MAX BATP011,MIN BATP011,AVG BATP011,DIFF BATP011,SEC BATP011,MAX BATP012,MIN BATP012,AVG BATP012,DIFF BATP012,SEC BATP012,MAX BATP013,MIN BATP013,AVG BATP013,DIFF BATP013,SEC BATP013,MAX BATP101,MIN BATP101,AVG BATP101,DIFF BATP101,SEC BATP101,MAX BATP102,MIN BATP102,AVG BATP102,DIFF BATP102,SEC BATP102,MAX BATP103,MIN BATP103,AVG BATP103,DIFF BATP103,SEC BATP103,MAX BATV001,MIN BATV001,AVG BATV001,DIFF BATV001,SEC BATV001,MAX BATV002,MIN BATV002,AVG BATV002,DIFF BATV002,SEC BATV002,MAX BATV003,MIN BATV003,AVG BATV003,DIFF BATV003,SEC BATV003,MAX BATV004,MIN BATV004,AVG BATV004,DIFF BATV004,SEC BATV004,MAX BATV005,MIN BATV005,AVG BATV005,DIFF BATV005,SEC BATV005,MAX BATV006,MIN BATV006,AVG BATV006,DIFF BATV006,SEC BATV006,MAX BATV007,MIN BATV007,AVG BATV007,DIFF BATV007,SEC BATV007,MAX BATV008,MIN BATV008,AVG BATV008,DIFF BATV008,SEC BATV008,MAX BATV009,MIN BATV009,AVG BATV009,DIFF BATV009,SEC BATV009,MAX BATV010,MIN BATV010,AVG BATV010,DIFF BATV010,SEC BATV010,MAX BATV011,MIN BATV011,AVG BATV011,DIFF BATV011,SEC BATV011,MAX BATV012,MIN BATV012,AVG BATV012,DIFF BATV012,SEC BATV012,MAX BATV013,MIN BATV013,AVG BATV013,DIFF BATV013,SEC BATV013,MAX BATV101,MIN BATV101,AVG BATV101,DIFF BATV101,SEC BATV101,MAX BATV102,MIN BATV102,AVG BATV102,DIFF BATV102,SEC BATV102,MAX BATV103,MIN BATV103,AVG BATV103,DIFF BATV103,SEC BATV103,VAL D001,N D001,SEC D001,VAL D002,N D002,SEC D002,VAL D003,N D003,SEC D003,VAL L001,N L001,SEC L001,VAL L002,N L002,SEC L002,VAL L003,N L003,SEC L003,VAL L004,N L004,SEC L004,VAL L005,N L005,SEC L005,VAL L006,N L006,SEC L006,VAL L007,N L007,SEC L007,VAL L008,N L008,SEC L008,MAX LL001,MIN LL001,AVG LL001,DIFF LL001,SEC LL001,MAX LS001,MIN LS001,AVG LS001,DIFF LS001,SEC LS001,MAX LS002,MIN LS002,AVG LS002,DIFF LS002,SEC LS002,MAX LS003,MIN LS003,AVG LS003,DIFF LS003,SEC LS003,MAX LS004,MIN LS004,AVG LS004,DIFF LS004,SEC LS004,MAX LS005,MIN LS005,AVG LS005,DIFF LS005,SEC LS005,MAX LS006,MIN LS006,AVG LS006,DIFF LS006,SEC LS006,MAX LS007,MIN LS007,AVG LS007,DIFF LS007,SEC LS007,MAX LS008,MIN LS008,AVG LS008,DIFF LS008,SEC LS008,MAX LS009,MIN LS009,AVG LS009,DIFF LS009,SEC LS009,MAX LS010,MIN LS010,AVG LS010,DIFF LS010,SEC LS010,MAX LS011,MIN LS011,AVG LS011,DIFF LS011,SEC LS011,MAX LS012,MIN LS012,AVG LS012,DIFF LS012,SEC LS012,MAX LS013,MIN LS013,AVG LS013,DIFF LS013,SEC LS013,VAL M001,N M001,SEC M001,VAL M002,N M002,SEC M002,VAL M003,N M003,SEC M003,VAL M005,N M005,SEC M005,VAL MA004,N MA004,SEC MA004,VAL MA006,N MA006,SEC MA006,VAL MA007,N MA007,SEC MA007,VAL MA008,N MA008,SEC MA008,VAL MA009,N MA009,SEC MA009,VAL MA010,N MA010,SEC MA010,VAL MA011,N MA011,SEC MA011,VAL MA012,N MA012,SEC MA012,VAL MA013,N MA013,SEC MA013,MAX T101,MIN T101,AVG T101,DIFF T101,SEC T101,MAX T102,MIN T102,AVG T102,DIFF T102,SEC T102,MAX T103,MIN T103,AVG T103,DIFF T103,SEC T103,TIME Toilet,TIME Eat_Lunch,TIME Drink,TIME Dress,TIME Enter_Home,TIME Sleep_Out_Of_Bed,TIME Entertain_Guests,TIME Phone,TIME Cook_Dinner,TIME Cook_Breakfast,TIME Take_Medicine,TIME Eat,TIME Cook_Lunch,TIME Watch_TV,TIME Sleep,TIME Step_Out,TIME Bed_Toilet_Transition,TIME Wash_Dishes,TIME Bathe,TIME Cook,TIME Evening_Meds,TIME Personal_Hygiene,TIME Morning_Meds,TIME Wash_Breakfast_Dishes,TIME Read,TIME Wash_Dinner_Dishes,TIME Groom,TIME Leave_Home,TIME Relax,TIME Eat_Breakfast,TIME Eat_Dinner,TIME Work_At_Table,TIME Work_On_Computer,TIME Wash_Lunch_Dishes,TO PREDICT
17,165,True,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,9520,0,396.6666666666667,9520,150,9120,0,7136.4,9120,2817,0,0,0.0,0,3600,9520,0,4791.733333333334,9520,1812,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,9560,0,3805.411111111111,9560,1433,0,0,0.0,0,3600,9520,0,6320.222222222223,9520,2390,9540,9540,9537.35,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,1,679,0,1,682,0,0,3600,0,2,691,0,0,3600,0,0,0.0,0,3600,5,0,3.333333333333333,5,170,6,0,1.0,6,651,3,0,0.5,3,417,0,0,0.0,0,3600,9,0,1.3244444444444443,9,678,2,0,0.3277777777777778,2,92,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,25,0,8.778611111111111,25,119,45,0,12.874444444444444,45,120,44,0,16.974444444444444,44,119,38,0,7.908888888888889,38,191,0,0,3600,0,4,131,0,0,3600,0,10,129,0,4,131,0,0,3600,0,0,3600,0,6,128,0,0,3600,0,8,127,0,24,104,0,92,121,0,138,152,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,33,0,0,0,0,0,0,0,0,0,0,0,0,0,748,0,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bed_Toilet_Transition
147,165,True,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,34,0,1.1427777777777777,34,121,25,0,11.944444444444445,25,1720,25,25,24.99305555555556,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bed_Toilet_Transition
221,165,True,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,9500,9500,9497.361111111111,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bed_Toilet_Transition
293,165,True,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,9560,0,4402.911111111112,9560,1658,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,1,0,0.0272222222222222,1,98,0,0,0.0,0,3600,1,0,0.0263888888888888,1,95,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,2,3598,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,4,1539,0,24,1433,0,20,1473,0,10,1542,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3495,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Toilet
354,165,True,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,9520,0,92.55555555555556,9520,35,0,0,0.0,0,3600,9120,0,2234.4,9120,882,0,0,0.0,0,3600,0,0,0.0,0,3600,9540,0,887.75,9540,335,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,9560,0,2748.5,9560,1035,0,0,0.0,0,3600,3140,0,2993.4666666666667,3140,3432,0,0,0.0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,6,0,4.106944444444444,6,557,9,0,4.976666666666667,9,186,5,0,2.838888888888889,5,4,10,0,5.689166666666667,10,184,0,0,0.0,0,3600,1,0,0.1994444444444444,1,207,1,0,0.1666666666666666,1,216,0,0,0.0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,2,335,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,12,801,0,8,3203,0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,24,0,11.613333333333332,24,1742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Toilet
416,165,True,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,9520,0,4225.822222222222,9520,1598,0,0,0.0,0,3600,9560,0,8917.355555555556,9560,3358,9540,0,8964.95,9540,3383,0,0,0.0,0,3600,9520,0,7092.4,9520,2682,9460,0,8616.483333333334,9460,3279,0,0,0.0,0,3600,9560,0,9395.355555555556,9560,3538,0,0,0.0,0,3600,9520,0,9453.888888888889,9520,3575,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,3600,0,2,2301,0,0,3600,0,0,3600,0,2,2298,1,1,3375,1,1,3380,1,1,3281,0,2,2391,0,2,3393,0,0,3600,0,0,0.0,0,3600,12,0,5.19,12,506,34,0,13.335833333333332,34,1002,39,0,14.523333333333332,39,1699,34,0,14.456388888888888,34,404,15,0,7.768611111111111,15,393,35,0,30.49222222222222,35,383,43,0,35.97027777777778,43,635,34,0,28.550555555555555,34,370,40,0,34.15277777777778,40,280,18,0,8.647777777777778,18,464,40,0,18.195,40,3,42,0,17.541666666666668,42,462,39,0,2.3336111111111117,39,142,0,14,2294,0,120,1589,0,50,2613,0,38,1588,0,178,1590,0,34,1573,0,14,634,0,62,1570,0,0,3600,0,14,2256,0,2,3599,0,28,2259,0,36,2532,0,0,0.0,0,3600,0,0,0.0,0,3600,25,0,21.148055555555555,25,692,135,0,87,53,0,0,0,0,0,610,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652,0,1586,0,0,Toilet
477,165,True,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,3140,0,2617.538888888889,3140,3001,0,0,3600,0,4,144,1,2,3038,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,2,135,0,4,3000,0,0,3600,0,0,0.0,0,3600,10,0,5.688055555555556,10,148,8,0,6.124444444444444,8,512,7,0,5.127777777777778,7,2955,10,0,8.763055555555555,10,1714,10,0,7.373055555555555,10,2062,38,32,33.36694444444444,6,269,41,0,38.62861111111111,41,438,32,0,30.012777777777774,32,271,38,0,35.89305555555556,38,465,22,0,20.82,22,2799,43,0,41.40222222222222,43,135,44,0,41.42333333333333,44,123,38,0,5.355833333333333,38,2397,0,24,148,0,32,2309,0,24,2925,0,34,138,0,40,2309,0,30,2065,0,8,3432,0,70,138,0,2,3459,0,22,136,0,0,3600,0,34,123,0,46,2996,0,0,0.0,0,3600,0,0,0.0,0,3600,25,0,21.78472222222222,25,3137,142,0,0,69,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,201,100,0,0,0,240,133,0,Groom
537,165,True,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,9500,0,2200.833333333333,9500,834,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,3600,0,2,1032,0,0,3600,0,0,3600,1,1,804,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,2,153,0,0,3600,0,0,0.0,0,3600,13,0,4.755555555555556,13,440,31,0,10.754166666666666,31,785,37,0,8.041666666666666,37,788,30,0,12.5825,30,785,15,0,5.969444444444444,15,147,34,0,29.111666666666668,34,138,40,0,30.57111111111111,40,216,32,0,21.179166666666667,32,143,38,0,35.216944444444444,38,214,13,0,9.100277777777778,13,247,18,0,11.568333333333332,18,747,19,0,11.1775,19,261,38,0,5.738055555555556,38,148,0,10,1030,0,8,785,0,4,788,0,20,146,0,14,785,0,16,138,0,10,813,0,30,142,0,10,812,0,6,846,0,0,3600,0,8,849,0,100,148,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,634,0,0,0,0,144,2270,0,Toilet
599,165,True,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,3600,0,2,568,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,1,3,547,0,2,3311,0,0,3600,0,0,0.0,0,3600,14,0,12.219444444444443,14,568,0,0,0.0,0,3600,36,0,26.679166666666667,36,1527,0,0,0.0,0,3600,16,0,12.585555555555556,16,115,37,0,29.045,37,118,42,0,31.4,42,951,34,0,32.07333333333333,34,118,40,0,35.67333333333333,40,348,23,0,19.987222222222226,23,74,44,0,40.035,44,548,44,0,40.08722222222222,44,269,38,0,5.4816666666666665,38,315,0,8,567,0,0,3600,0,0,3600,0,12,69,0,0,3600,0,14,65,0,0,3600,0,26,65,0,0,3600,0,20,72,0,2,294,0,58,75,0,22,3306,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,126,0,0,314,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,2350,0,Work_At_Table
659,165,True,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,9560,0,4891.533333333334,9560,1842,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,3600,0,6,1421,1,2,1451,0,2,1544,0,1,1616,0,1,1536,0,1,1528,0,1,1772,0,1,2785,0,6,1452,0,0,3600,100,0,10.081944444444444,100,1544,22,4,10.209722222222222,18,225,28,0,14.256944444444445,28,930,37,0,17.67222222222222,37,1027,31,0,15.812222222222225,31,1527,21,0,11.046666666666669,21,1526,40,0,24.36555555555556,40,356,46,0,27.620555555555555,46,496,36,0,19.503055555555555,36,239,43,0,25.51805555555556,43,359,22,0,16.609166666666667,22,1433,28,0,18.64,28,52,44,0,28.18138888888889,44,391,38,0,5.456944444444445,38,850,0,12,1421,0,12,1529,0,12,1922,0,68,1429,0,14,1527,0,58,1548,0,10,2291,0,94,1431,0,8,1551,0,22,1433,0,2,1842,0,32,1585,0,60,1447,35,0,10.60138888888889,35,510,0,0,0.0,0,3600,0,0,0.0,0,3600,317,0,0,23,0,0,0,0,0,0,0,0,0,0,0,322,0,0,0,0,0,30,0,0,0,0,73,7,0,0,0,220,270,0,Enter_Home
