Minutes from midnight,Days,Is business,MAX BATP001,MIN BATP001,AVG BATP001,DIFF BATP001,SEC BATP001,MAX BATP002,MIN BATP002,AVG BATP002,DIFF BATP002,SEC BATP002,MAX BATP003,MIN BATP003,AVG BATP003,DIFF BATP003,SEC BATP003,MAX BATP005,MIN BATP005,AVG BATP005,DIFF BATP005,SEC BATP005,MAX BATP006,MIN BATP006,AVG BATP006,DIFF BATP006,SEC BATP006,MAX BATP007,MIN BATP007,AVG BATP007,DIFF BATP007,SEC BATP007,MAX BATP008,MIN BATP008,AVG BATP008,DIFF BATP008,SEC BATP008,MAX BATP009,MIN BATP009,AVG BATP009,DIFF BATP009,SEC BATP009,MAX BATP010,MIN BATP010,AVG BATP010,DIFF BATP010,SEC BATP010,MAX BATP011,MIN BATP011,AVG BATP011,DIFF BATP011,SEC BATP011,MAX BATP102,MIN BATP102,AVG BATP102,DIFF BATP102,SEC BATP102,MAX BATP103,MIN BATP103,AVG BATP103,DIFF BATP103,SEC BATP103,MAX BATP104,MIN BATP104,AVG BATP104,DIFF BATP104,SEC BATP104,MAX BATV001,MIN BATV001,AVG BATV001,DIFF BATV001,SEC BATV001,MAX BATV002,MIN BATV002,AVG BATV002,DIFF BATV002,SEC BATV002,MAX BATV003,MIN BATV003,AVG BATV003,DIFF BATV003,SEC BATV003,MAX BATV004,MIN BATV004,AVG BATV004,DIFF BATV004,SEC BATV004,MAX BATV005,MIN BATV005,AVG BATV005,DIFF BATV005,SEC BATV005,MAX BATV006,MIN BATV006,AVG BATV006,DIFF BATV006,SEC BATV006,MAX BATV007,MIN BATV007,AVG BATV007,DIFF BATV007,SEC BATV007,MAX BATV008,MIN BATV008,AVG BATV008,DIFF BATV008,SEC BATV008,MAX BATV009,MIN BATV009,AVG BATV009,DIFF BATV009,SEC BATV009,MAX BATV010,MIN BATV010,AVG BATV010,DIFF BATV010,SEC BATV010,MAX BATV011,MIN BATV011,AVG BATV011,DIFF BATV011,SEC BATV011,MAX BATV102,MIN BATV102,AVG BATV102,DIFF BATV102,SEC BATV102,MAX BATV103,MIN BATV103,AVG BATV103,DIFF BATV103,SEC BATV103,MAX BATV104,MIN BATV104,AVG BATV104,DIFF BATV104,SEC BATV104,VAL D002,N D002,SEC D002,MAX LS001,MIN LS001,AVG LS001,DIFF LS001,SEC LS001,MAX LS002,MIN LS002,AVG LS002,DIFF LS002,SEC LS002,MAX LS003,MIN LS003,AVG LS003,DIFF LS003,SEC LS003,MAX LS004,MIN LS004,AVG LS004,DIFF LS004,SEC LS004,MAX LS005,MIN LS005,AVG LS005,DIFF LS005,SEC LS005,MAX LS006,MIN LS006,AVG LS006,DIFF LS006,SEC LS006,MAX LS007,MIN LS007,AVG LS007,DIFF LS007,SEC LS007,MAX LS008,MIN LS008,AVG LS008,DIFF LS008,SEC LS008,MAX LS009,MIN LS009,AVG LS009,DIFF LS009,SEC LS009,MAX LS010,MIN LS010,AVG LS010,DIFF LS010,SEC LS010,MAX LS011,MIN LS011,AVG LS011,DIFF LS011,SEC LS011,VAL M001,N M001,SEC M001,VAL M002,N M002,SEC M002,VAL M003,N M003,SEC M003,VAL M004,N M004,SEC M004,VAL M005,N M005,SEC M005,VAL M006,N M006,SEC M006,VAL M007,N M007,SEC M007,VAL M008,N M008,SEC M008,VAL M009,N M009,SEC M009,VAL M010,N M010,SEC M010,VAL M011,N M011,SEC M011,MAX T102,MIN T102,AVG T102,DIFF T102,SEC T102,MAX T103,MIN T103,AVG T103,DIFF T103,SEC T103,MAX T104,MIN T104,AVG T104,DIFF T104,SEC T104,MAX T106,MIN T106,AVG T106,DIFF T106,SEC T106,TIME Toilet,TIME Work,TIME Eat_Lunch,TIME Dress,TIME Enter_Home,TIME Sleep_Out_Of_Bed,TIME Entertain_Guests,TIME Phone,TIME Cook_Breakfast,TIME Eat,TIME Cook_Lunch,TIME Watch_TV,TIME Sleep,TIME Step_Out,TIME Bed_Toilet_Transition,TIME Wash_Dishes,TIME Bathe,TIME Cook,TIME Personal_Hygiene,TIME Groom,TIME Leave_Home,TIME Relax,TIME Eat_Breakfast,TIME Work_At_Table,TIME Work_On_Computer,TO PREDICT
27,169,True,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,48,0,29.453333333333333,48,2209,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,1654,0,1014.9127777777778,1654,2209,0,0,0.0,0,3600,0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,16,745,0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,Bed_Toilet_Transition
94,169,True,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,84,0,65.52,84,2808,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,8435,0,8376.423611111111,8435,3575,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,9702,0,9014.775,9702,3345,0,0,0.0,0,3600,8396,8396,8393.667777777779,0,3600,7960,0,3537.777777777778,7960,1600,2905,0,2630.6388888888887,2905,3260,0,0,0.0,0,3600,2891,0,2254.98,2891,2808,0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,2,3575,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,30,529,0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,Bed_Toilet_Transition
159,169,True,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,7326,0,1259.665,7326,619,0,0,0.0,0,3600,0,0,0.0,0,3600,7405,7405,7402.9430555555555,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,18,405,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,72,365,0,0,3600,23,0,3.7630555555555554,23,589,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,Bed_Toilet_Transition
231,169,True,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,8475,0,4677.729166666667,8475,1987,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,6,819,0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,Bed_Toilet_Transition
300,169,True,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,95,0,33.856944444444444,95,1283,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,8475,8475,8472.645833333334,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,2,0,0.2311111111111111,2,116,1,0,0.0319444444444444,1,115,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,4,1113,0,4,1114,0,0,3600,0,28,1054,0,0,3600,0,0,3600,0,0,3600,0,28,1116,0,0,3600,0,48,1033,0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,22,0,16.206666666666667,22,2652,0,0,0.0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,3391,0,171,0,0,0,0,0,0,0,0,0,0,Dress
363,169,True,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,47,0,4.660833333333334,47,357,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,1640,0,162.63333333333333,1640,357,0,0,0.0,0,3600,0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,6,0,1.8283333333333331,6,297,4,0,0.8277777777777777,4,295,0,0,0.0,0,3600,2,0,0.7669444444444444,2,781,1,0,0.3391666666666666,1,1221,0,0,0.0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,0,3600,0,6,318,0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,23,0,10.682222222222222,23,1672,0,0,0.0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,Dress
428,169,True,0,0,0.0,0,3600,0,0,0.0,0,3600,83,0,41.730555555555554,83,1810,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,83,0,4.380555555555556,83,190,0,0,0.0,0,3600,0,0,0.0,0,3600,8396,0,4221.322222222222,8396,1810,8396,0,4524.511111111111,8396,1940,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,9742,0,3818.322777777778,9742,1411,0,0,0.0,0,3600,8435,0,4543.184722222222,8435,1939,0,0,0.0,0,3600,2891,0,994.1827777777778,2891,1238,0,0,0.0,0,3600,2878,0,151.89444444444445,2878,190,0,0,3600,0,0,0.0,0,3600,12,0,4.586944444444445,12,1048,1,0,0.8352777777777778,1,1514,1,0,0.1666666666666666,1,2717,2,0,1.8033333333333328,2,1772,13,0,10.908333333333331,13,1770,10,0,7.595,10,569,44,0,16.783055555555556,44,6,8,0,5.004722222222222,8,1801,6,2,3.236666666666667,4,2478,0,0,0.0,0,3600,0,6,1417,0,60,668,0,6,1511,0,56,1453,0,12,1521,0,2,1550,0,0,3600,0,182,4,0,22,1523,0,102,1419,0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,22,0,1.1611111111111112,22,190,0,0,0.0,0,3600,0,0,0,245,0,0,0,191,0,0,0,0,1542,0,0,0,658,0,680,6,0,0,0,0,0,Dress
488,169,True,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,8435,0,2361.8,8435,1008,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,7445,0,3114.491666666667,7445,1506,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,7920,0,2631.2,7920,1196,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,2,919,5,0,0.4788888888888888,5,328,8,0,0.1155555555555555,8,947,9,0,2.4522222222222223,9,450,7,0,1.1683333333333332,7,334,14,0,4.953333333333333,14,447,39,0,18.785555555555558,39,33,35,0,15.42361111111111,35,198,43,0,8.740833333333333,43,376,23,0,9.202222222222222,23,544,18,0,5.465555555555556,18,332,0,0,0.0,0,3600,0,14,920,0,42,946,0,20,1036,0,74,931,0,42,1047,0,6,1431,0,6,1432,0,174,967,0,64,1015,0,70,929,0,0,3600,24,0,4.471388888888889,24,79,0,0,0.0,0,3600,23,0,16.630277777777778,23,2603,0,0,0.0,0,3600,0,0,0,108,0,0,0,0,0,0,0,1265,0,0,0,0,0,0,220,390,31,0,0,0,0,Enter_Home
548,169,True,82,0,3.1661111111111118,82,139,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,2,137,7,0,3.518333333333333,7,135,0,0,0.0,0,3600,13,0,7.395,13,479,8,0,4.901111111111111,8,129,18,0,10.44,18,124,42,18,33.25361111111111,24,216,41,0,32.48638888888889,41,326,0,0,0.0,0,3600,27,0,21.883333333333333,27,130,21,0,16.68722222222222,21,128,0,0,0.0,0,3600,0,4,135,0,0,3600,0,0,3600,0,2,129,0,6,93,0,0,3600,0,0,3600,0,0,3600,0,6,109,0,6,128,0,0,3600,24,0,12.813333333333333,24,1922,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0,0,22,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,Entertain_Guests
609,169,True,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,7287,0,4564.495833333333,7287,2255,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,8396,0,5807.233333333334,8396,2490,8435,0,6373.111111111111,8435,2720,0,0,0.0,0,3600,8435,0,28.116666666666667,8435,12,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,1,1,2558,10,0,6.293333333333333,10,573,11,0,6.936388888888889,11,583,13,0,9.83,13,19,9,0,6.857777777777778,9,562,19,0,15.028055555555556,19,181,44,0,38.48222222222222,44,1,36,0,29.57777777777778,36,0,45,0,18.81833333333333,45,584,30,10,25.855833333333333,20,1,24,0,19.036944444444444,24,562,0,0,0.0,0,3600,0,108,565,0,118,565,0,130,612,0,204,562,0,34,1969,0,34,1,0,115,0,0,212,584,0,92,1,0,286,562,0,0,3600,0,0,0.0,0,3600,0,0,0.0,0,3600,24,0,2.506666666666667,24,376,25,0,15.40972222222222,25,2219,0,0,0,0,0,0,2084,0,0,0,0,1026,0,0,0,0,0,0,462,0,0,0,0,0,0,Leave_Home
